Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,170.770004,174.110001,170.589996,173.520004,168.998459,5908000
2022-02-01,173.149994,173.429993,169.559998,172.339996,167.849197,5952700
2022-02-02,172.759995,175.639999,172.570007,175.470001,170.897659,5767000
2022-02-03,175.270004,176.660004,173.830002,175.369995,170.800262,4632700
2022-02-04,173.100006,174.889999,171.190002,172.490005,167.995331,4592400
2022-02-07,172.740005,172.990005,171.210007,171.809998,167.333008,4813300
2022-02-08,172.630005,172.639999,170.309998,172.020004,167.537552,3957700
2022-02-09,172.500000,172.779999,171.009995,171.940002,167.459641,6780200
2022-02-10,168.660004,171.449997,167.300003,168.369995,163.982651,7899800
2022-02-11,168.059998,170.309998,167.690002,168.580002,164.187180,7299600
2022-02-14,169.419998,169.679993,165.100006,166.699997,162.356186,6822500
2022-02-15,167.220001,168.250000,165.259995,165.960007,161.635452,4943800
2022-02-16,165.630005,167.199997,164.539993,166.300003,161.966614,4161700
2022-02-17,166.009995,167.949997,165.000000,166.750000,162.404877,5156800
2022-02-18,167.110001,168.240005,166.220001,167.710007,163.339874,5181600
2022-02-22,168.570007,168.940002,166.229996,168.350006,163.963196,7733900
2022-02-23,169.119995,169.119995,166.520004,166.690002,162.346451,5812800
2022-02-24,165.710007,166.339996,160.289993,163.789993,159.522003,8888800
2022-02-25,164.419998,168.460007,164.259995,168.380005,163.992416,6535600
2022-02-28,164.039993,165.210007,161.410004,163.740005,159.473312,7677000
2022-03-01,163.070007,164.399994,161.300003,162.270004,158.041626,5107900
2022-03-02,162.979996,165.820007,162.490005,164.520004,160.232971,5452100
2022-03-03,163.970001,165.190002,162.800003,163.270004,160.061417,5352200
2022-03-04,162.000000,166.500000,160.919998,165.750000,162.492676,6340300
2022-03-07,164.070007,165.149994,162.130005,162.449997,159.257538,6319500
2022-03-08,162.380005,163.970001,157.690002,157.869995,154.767548,6163700
2022-03-09,159.809998,160.059998,156.399994,157.399994,154.306763,5764900
2022-03-10,155.789993,156.250000,153.369995,154.509995,151.473572,6103700
2022-03-11,155.449997,156.889999,153.479996,153.729996,150.708893,4762600
2022-03-14,155.149994,157.800003,154.500000,155.889999,152.826462,6075600
2022-03-15,157.320007,159.500000,156.830002,159.000000,155.875320,6203400
2022-03-16,158.410004,159.990005,157.039993,159.699997,156.561584,6299000
2022-03-17,159.830002,161.630005,159.300003,160.940002,157.777222,3587600
2022-03-18,161.380005,162.929993,160.059998,162.789993,159.590836,12123000
2022-03-21,162.270004,163.809998,161.070007,162.559998,159.365372,5122600
2022-03-22,162.839996,164.770004,162.229996,164.339996,161.110382,5779200
2022-03-23,164.250000,165.279999,162.630005,163.479996,160.267288,4533700
2022-03-24,164.059998,164.729996,163.270004,164.470001,161.237839,3160300
2022-03-25,164.429993,165.899994,164.429993,165.240005,161.992706,4146800
2022-03-28,165.100006,165.770004,163.710007,165.729996,162.473068,4308000
2022-03-29,167.289993,168.580002,166.369995,168.190002,164.884735,4440400
